,start_time,end_time,stepper_ang,cmd_speed,direction,result,notes
0,12:57:28.558200,12:57:28.896617,0,230,0,pass,This and following 15 trials run together
1,12:57:30.286132,12:57:30.599460,0,225,1,pass,
2,12:57:31.962956,12:57:32.282282,0,230,0,pass,
3,12:57:33.672500,12:57:33.983198,0,225,1,pass,
4,12:57:36.947645,12:57:37.265846,45.0,215,0,pass,
5,12:57:38.627683,12:57:38.933336,45.0,230,1,pass,
6,12:57:40.294070,12:57:40.630935,45.0,215,0,pass,
7,12:57:42.005807,12:57:42.317366,45.0,230,1,pass,
8,12:57:45.317105,12:57:45.647933,-45.0,245,0,pass,
9,12:57:47.022890,12:57:47.333713,-45.0,215,1,pass,
10,12:57:48.708676,12:57:49.031111,-45.0,245,0,pass,
11,12:57:50.394599,12:57:50.714513,-45.0,215,1,pass,
12,12:57:53.658689,12:57:54.013228,-90.0,235,0,fail,
13,12:57:55.373927,12:57:58.097142,-90.0,185,1,pass,
14,12:57:59.456565,12:57:59.766188,-90.0,235,0,pass,
15,12:58:01.127486,12:58:01.433677,-90.0,185,1,pass,
16,12:58:46.850903,12:58:47.166960,0.0,230,0,pass,This and following 15 trials run together
17,12:58:48.553227,12:58:48.849953,0.0,225,1,pass,
18,12:58:50.223266,12:58:50.549164,0.0,230,0,pass,
19,12:58:51.908678,12:58:52.217333,0.0,225,1,pass,
20,12:58:55.170547,12:58:55.498795,45.0,215,0,pass,
21,12:58:56.873915,12:58:57.183589,45.0,230,1,pass,
22,12:58:58.569972,12:58:58.899360,45.0,215,0,pass,
23,12:59:00.279011,12:59:00.583646,45.0,230,1,pass,
24,12:59:03.545439,12:59:03.881391,-45.0,245,0,pass,
25,12:59:05.256902,12:59:05.582287,-45.0,215,1,pass,
26,12:59:06.941833,12:59:07.266215,-45.0,245,0,pass,
27,12:59:08.641158,12:59:08.965547,-45.0,215,1,pass,
28,12:59:11.950414,12:59:12.266665,-90.0,235,0,pass,
29,12:59:13.626091,12:59:13.980647,-90.0,185,1,pass,
30,12:59:15.347318,12:59:15.696857,-90.0,235,0,fail,
31,12:59:17.087343,12:59:18.994367,-90.0,185,1,pass,
32,14:34:09.276160,14:34:09.590015,0.0,230,0,pass,This and following 15 trials run together
33,14:34:10.976228,14:34:11.275165,0.0,225,1,pass,
34,14:34:12.661440,14:34:12.989560,0.0,230,0,pass,
35,14:34:14.380164,14:34:14.690896,0.0,225,1,pass,
36,14:34:17.644060,14:34:17.973321,45.0,215,0,pass,
37,14:34:19.332941,14:34:19.641527,45.0,230,1,pass,
38,14:34:21.018403,14:34:21.355239,45.0,215,0,pass,
39,14:34:22.717164,14:34:23.040509,45.0,230,1,pass,
40,14:34:26.036266,14:34:26.372172,-45.0,245,0,pass,
41,14:34:27.747128,14:34:28.073272,-45.0,215,1,pass,
42,14:34:29.448176,14:34:29.757681,-45.0,245,0,pass,
43,14:34:31.132644,14:34:31.456529,-45.0,215,1,pass,
44,14:34:34.425317,14:34:34.740547,-90.0,235,0,pass,
45,14:34:36.130952,14:34:36.455816,-90.0,185,1,pass,
46,14:34:37.831577,14:34:38.141188,-90.0,235,0,pass,
47,14:34:39.516160,14:34:39.840434,-90.0,185,1,pass,
48,14:43:50.552596,14:43:50.874508,0.0,230,0,pass,This and following 15 trials run together
49,14:43:52.263125,14:43:52.574800,0.0,225,1,pass,
50,14:43:53.941713,14:43:54.257849,0.0,230,0,pass,
51,14:43:55.632847,14:43:55.957346,0.0,225,1,pass,
52,14:43:58.925966,14:43:59.255868,45.0,215,0,pass,
53,14:44:00.646340,14:44:00.957557,45.0,230,1,pass,
54,14:44:02.332495,14:44:02.673384,45.0,215,0,pass,
55,14:44:04.057473,14:44:04.373719,45.0,230,1,pass,
56,14:44:07.349642,14:44:07.689437,-45.0,245,0,pass,
57,14:44:09.075473,14:44:09.390675,-45.0,215,1,pass,
58,14:44:10.765549,14:44:11.074992,-45.0,245,0,pass,
59,14:44:12.465332,14:44:12.790879,-45.0,215,1,pass,
60,14:44:15.744193,14:44:16.104322,-90.0,235,0,fail,
61,14:44:17.494729,14:44:18.619270,-90.0,185,1,pass,
62,14:44:19.990242,14:44:20.291956,-90.0,235,0,pass,
63,14:44:21.682386,14:44:22.007654,-90.0,185,1,pass,
64,14:57:56.995067,14:57:57.324267,0.0,230,0,pass,This and following 15 trials run together
65,14:57:58.707526,14:57:59.024780,0.0,225,1,pass,
66,14:58:00.413477,14:58:00.740291,0.0,230,0,pass,
67,14:58:02.129885,14:58:02.442560,0.0,225,1,pass,
68,14:58:05.417013,14:58:05.740691,45.0,215,0,pass,
69,14:58:07.116693,14:58:07.426425,45.0,230,1,pass,
70,14:58:08.806083,14:58:09.140976,45.0,215,0,pass,
71,14:58:10.531476,14:58:10.843027,45.0,230,1,pass,
72,14:58:13.842873,14:58:14.175412,-45.0,245,0,pass,
73,14:58:15.565724,14:58:15.892249,-45.0,215,1,pass,
74,14:58:17.282838,14:58:17.592408,-45.0,245,0,pass,
75,14:58:18.982883,14:58:19.308157,-45.0,215,1,pass,
76,14:58:22.278943,14:58:22.639578,-90.0,235,0,fail,
77,14:58:23.992618,14:58:24.361054,-90.0,185,1,fail,
78,14:58:25.725779,14:58:26.026525,-90.0,235,0,pass,
79,14:58:27.403952,14:58:27.725179,-90.0,185,1,pass,
80,14:58:40.871405,14:58:41.217758,0.0,230,0,fail,This and following 15 trials run together
81,14:58:42.596312,14:58:42.908570,0.0,225,1,pass,
82,14:58:44.295909,14:58:44.625080,0.0,230,0,pass,
83,14:58:46.015398,14:58:46.341684,0.0,225,1,pass,
84,14:58:49.295174,14:58:49.625338,45.0,215,0,pass,
85,14:58:50.995330,14:58:51.308655,45.0,230,1,pass,
86,14:58:52.683678,14:58:53.023676,45.0,215,0,pass,
87,14:58:54.394750,14:58:54.709371,45.0,230,1,pass,
88,14:58:57.709073,14:58:58.040904,-45.0,245,0,pass,
89,14:58:59.402442,14:58:59.725093,-45.0,215,1,pass,
90,14:59:01.084260,14:59:01.392815,-45.0,245,0,pass,
91,14:59:02.756180,14:59:03.075382,-45.0,215,1,pass,
92,14:59:06.056551,14:59:06.422564,-90.0,235,0,fail,
93,14:59:07.785779,14:59:10.489015,-90.0,185,1,pass,
94,14:59:11.864352,14:59:12.176756,-90.0,235,0,pass,
95,14:59:13.536145,14:59:13.858388,-90.0,185,1,pass,
96,14:59:34.908411,14:59:35.240881,0.0,230,0,pass,This and following 15 trials run together
97,14:59:36.613064,14:59:36.925202,0.0,225,1,pass,
98,14:59:38.315618,14:59:38.640446,0.0,230,0,pass,
99,14:59:40.015241,14:59:40.326364,0.0,225,1,pass,
100,14:59:43.281578,14:59:43.608694,45.0,215,0,pass,
101,14:59:44.999032,14:59:45.316842,45.0,230,1,pass,
102,14:59:46.664611,14:59:46.991857,45.0,215,0,pass,
103,14:59:48.326076,14:59:48.642627,45.0,230,1,pass,
104,14:59:51.610015,14:59:51.940868,-45.0,245,0,pass,
105,14:59:53.325667,14:59:53.657502,-45.0,215,1,pass,
106,14:59:55.037204,14:59:55.358246,-45.0,245,0,pass,
107,14:59:56.734655,14:59:57.059033,-45.0,215,1,pass,
108,15:00:00.058604,15:00:00.422673,-90.0,235,0,fail,
109,15:00:01.812992,15:00:03.704601,-90.0,185,1,pass,
110,15:00:05.079560,15:00:05.379702,-90.0,235,0,pass,
111,15:00:06.729248,15:00:07.042387,-90.0,185,1,pass,
112,15:05:23.615210,15:05:23.941596,0.0,230,0,pass,This and following 15 trials run together
113,15:05:25.314929,15:05:25.626104,0.0,225,1,pass,
114,15:05:27.016512,15:05:27.342649,0.0,230,0,pass,
115,15:05:28.733000,15:05:29.043686,0.0,225,1,pass,
116,15:05:32.027741,15:05:32.357611,45.0,215,0,pass,
117,15:05:33.735511,15:05:34.043154,45.0,230,1,pass,
118,15:05:35.404794,15:05:35.741590,45.0,215,0,pass,
119,15:05:37.116368,15:05:37.427009,45.0,230,1,pass,
120,15:05:40.411245,15:05:40.741020,-45.0,245,0,pass,
121,15:05:42.131511,15:05:42.452997,-45.0,215,1,pass,
122,15:05:43.815855,15:05:44.126300,-45.0,245,0,pass,
123,15:05:45.511908,15:05:45.840849,-45.0,215,1,pass,
124,15:05:48.824983,15:05:49.188937,-90.0,235,0,fail,
125,15:05:50.572511,15:05:53.250250,-90.0,185,1,pass,
126,15:05:54.625198,15:05:54.927847,-90.0,235,0,pass,
127,15:05:56.318339,15:05:56.642541,-90.0,185,1,pass,
128,15:08:15.788427,15:08:16.123667,0.0,230,0,pass,This and following 15 trials run together
129,15:08:17.507866,15:08:17.826058,0.0,225,1,pass,
130,15:08:19.201036,15:08:19.526280,0.0,230,0,pass,
131,15:08:20.916683,15:08:21.227341,0.0,225,1,pass,
132,15:08:24.211400,15:08:24.541281,45.0,215,0,pass,
133,15:08:25.931600,15:08:26.242847,45.0,230,1,pass,
134,15:08:27.617825,15:08:27.958711,45.0,215,0,pass,
135,15:08:29.318158,15:08:29.626779,45.0,230,1,pass,
136,15:08:32.618328,15:08:32.942504,-45.0,245,0,pass,
137,15:08:34.317460,15:08:34.642390,-45.0,215,1,pass,
138,15:08:36.032709,15:08:36.343472,-45.0,245,0,pass,
139,15:08:37.731680,15:08:38.058860,-45.0,215,1,pass,
140,15:08:41.043090,15:08:41.406145,-90.0,235,0,fail,
141,15:08:42.781005,15:08:46.247888,-90.0,185,1,pass,
142,15:08:47.622869,15:08:47.927415,-90.0,235,0,pass,
143,15:08:49.317821,15:08:49.642985,-90.0,185,1,pass,
144,15:31:41.913649,15:31:42.228236,0.0,230,0,pass,This and following 15 trials run together
145,15:31:43.598822,15:31:43.911089,0.0,225,1,pass,
146,15:31:45.292209,15:31:45.611794,0.0,230,0,pass,
147,15:31:47.002284,15:31:47.327598,0.0,225,1,pass,
148,15:31:50.296264,15:31:50.611771,45.0,215,0,pass,
149,15:31:51.986641,15:31:52.295304,45.0,230,1,pass,
150,15:31:53.685703,15:31:54.026501,45.0,215,0,pass,
151,15:31:55.378410,15:31:55.694536,45.0,230,1,pass,
152,15:31:58.694119,15:31:59.027088,-45.0,245,0,pass,
153,15:32:00.399907,15:32:00.726734,-45.0,215,1,pass,
154,15:32:02.101510,15:32:02.412116,-45.0,245,0,pass,
155,15:32:03.802603,15:32:04.127798,-45.0,215,1,pass,
156,15:32:07.088364,15:32:07.442106,-90.0,235,0,fail,
157,15:32:08.832537,15:32:10.742657,-90.0,185,1,pass,
158,15:32:12.132991,15:32:12.445944,-90.0,235,0,pass,
159,15:32:13.805345,15:32:14.143248,-90.0,185,1,pass,
160,16:05:59.798862,16:06:00.113603,0.0,230,0,pass,This and following 15 trials run together
161,16:06:01.502962,16:06:01.814053,0.0,225,1,pass,
162,16:06:03.177685,16:06:03.497079,0.0,230,0,pass,
163,16:06:04.856609,16:06:05.178786,0.0,225,1,pass,
164,16:06:08.147208,16:06:08.463520,45.0,215,0,pass,
165,16:06:09.838608,16:06:10.148226,45.0,230,1,pass,
166,16:06:11.523103,16:06:11.862883,45.0,215,0,pass,
167,16:06:13.230576,16:06:13.547709,45.0,230,1,pass,
168,16:06:16.547385,16:06:16.879180,-45.0,245,0,pass,
169,16:06:18.269665,16:06:18.595520,-45.0,215,1,pass,
170,16:06:19.956234,16:06:20.264450,-45.0,245,0,pass,
171,16:06:21.612779,16:06:21.945708,-45.0,215,1,pass,
172,16:06:24.904440,16:06:25.260170,-90.0,235,0,fail,
173,16:06:26.625755,16:06:29.342338,-90.0,185,1,pass,
174,16:06:30.718465,16:06:31.031988,-90.0,235,0,pass,
175,16:06:32.391524,16:06:32.729173,-90.0,185,1,pass,
176,16:10:02.166574,16:10:02.481240,0.0,230,0,pass,This and following 15 trials run together
177,16:10:03.852547,16:10:04.163914,0.0,225,1,pass,
178,16:10:05.540403,16:10:05.848015,0.0,230,0,pass,
179,16:10:07.222311,16:10:07.531911,0.0,225,1,pass,
180,16:10:10.500409,16:10:10.829325,45.0,215,0,pass,
181,16:10:12.216333,16:10:12.530545,45.0,230,1,pass,
182,16:10:13.920858,16:10:14.261426,45.0,215,0,pass,
183,16:10:15.604834,16:10:15.915512,45.0,230,1,pass,
184,16:10:18.851882,16:10:19.175953,-45.0,245,0,pass,
185,16:10:20.539375,16:10:20.864561,-45.0,215,1,pass,
186,16:10:22.227614,16:10:22.547344,-45.0,245,0,pass,
187,16:10:23.922223,16:10:24.247529,-45.0,215,1,pass,
188,16:10:27.225315,16:10:27.593974,-90.0,235,0,fail,
189,16:10:28.968753,16:10:30.891266,-90.0,185,1,pass,
190,16:10:32.260366,16:10:32.564859,-90.0,235,0,pass,
191,16:10:33.939763,16:10:34.271759,-90.0,185,1,pass,
192,16:10:43.480764,16:10:43.813499,0.0,230,0,fail,This and following 15 trials run together
193,16:10:45.203913,16:10:45.515711,0.0,225,1,pass,
194,16:10:46.876510,16:10:47.197795,0.0,230,0,pass,
195,16:10:48.574339,16:10:48.881865,0.0,225,1,pass,
196,16:10:51.820287,16:10:52.165391,45.0,215,0,pass,
197,16:10:53.544849,16:10:53.864015,45.0,230,1,pass,
198,16:10:55.254592,16:10:55.596225,45.0,215,0,pass,
199,16:10:56.974593,16:10:57.297181,45.0,230,1,pass,
200,16:11:00.292012,16:11:00.630051,-45.0,245,0,pass,
201,16:11:02.010739,16:11:02.346546,-45.0,215,1,pass,
202,16:11:03.736953,16:11:04.064170,-45.0,245,0,pass,
203,16:11:05.454669,16:11:05.796523,-45.0,215,1,pass,
204,16:11:08.775299,16:11:09.097592,-90.0,235,0,pass,
205,16:11:10.472519,16:11:10.812588,-90.0,185,1,pass,
206,16:11:12.203086,16:11:12.515532,-90.0,235,0,pass,
207,16:11:13.885700,16:11:14.228154,-90.0,185,1,pass,
208,16:20:45.034591,16:20:45.379347,0.0,230,0,pass,This and following 15 trials run together
209,16:20:46.754991,16:20:47.081155,0.0,225,1,pass,
210,16:20:48.461595,16:20:48.797472,0.0,230,0,pass,
211,16:20:50.172535,16:20:50.497859,0.0,225,1,pass,
212,16:20:53.456010,16:20:53.782097,45.0,215,0,pass,
213,16:20:55.160923,16:20:55.481875,45.0,230,1,pass,
214,16:20:56.872376,16:20:57.214124,45.0,215,0,pass,
215,16:20:58.589114,16:20:58.915270,45.0,230,1,pass,
216,16:21:01.888952,16:21:02.237984,-45.0,245,0,pass,
217,16:21:03.615186,16:21:03.946980,-45.0,215,1,pass,
218,16:21:05.337379,16:21:05.664717,-45.0,245,0,pass,
219,16:21:07.034114,16:21:07.364118,-45.0,215,1,pass,
220,16:21:10.335588,16:21:10.664341,-90.0,235,0,pass,
221,16:21:12.054748,16:21:12.396879,-90.0,185,1,pass,
222,16:21:13.771835,16:21:14.082359,-90.0,235,0,pass,
223,16:21:15.457335,16:21:15.797119,-90.0,185,1,pass,
224,16:25:07.642679,16:25:07.981089,0.0,230,0,pass,This and following 15 trials run together
225,16:25:09.368853,16:25:09.682139,0.0,225,1,pass,
226,16:25:11.072644,16:25:11.398604,0.0,230,0,pass,
227,16:25:12.773724,16:25:13.098869,0.0,225,1,pass,
228,16:25:16.069368,16:25:16.414131,45.0,215,0,pass,
229,16:25:17.804539,16:25:18.131225,45.0,230,1,pass,
230,16:25:19.508361,16:25:19.862952,45.0,215,0,pass,
231,16:25:21.222325,16:25:21.548657,45.0,230,1,pass,
232,16:25:24.534162,16:25:24.880583,-45.0,245,0,pass,
233,16:25:26.255280,16:25:26.581534,-45.0,215,1,pass,
234,16:25:27.945059,16:25:28.265432,-45.0,245,0,pass,
235,16:25:29.640079,16:25:29.965256,-45.0,215,1,pass,
236,16:25:32.939949,16:25:33.265017,-90.0,235,0,pass,
237,16:25:34.641089,16:25:34.981003,-90.0,185,1,pass,
238,16:25:36.352308,16:25:36.665579,-90.0,235,0,pass,
239,16:25:38.040274,16:25:38.380418,-90.0,185,1,pass,
240,16:28:23.172495,16:28:23.513247,0.0,230,0,pass,This and following 15 trials run together
241,16:28:24.902409,16:28:25.231318,0.0,225,1,pass,
242,16:28:26.621817,16:28:26.964636,0.0,230,0,pass,
243,16:28:28.355129,16:28:28.682392,0.0,225,1,pass,
244,16:28:31.636984,16:28:31.980794,45.0,215,0,pass,
245,16:28:33.371113,16:28:33.697957,45.0,230,1,pass,
246,16:28:35.075784,16:28:35.414576,45.0,215,0,pass,
247,16:28:36.805004,16:28:37.132477,45.0,230,1,pass,
248,16:28:40.091578,16:28:40.430895,-45.0,245,0,pass,
249,16:28:41.805756,16:28:42.147571,-45.0,215,1,pass,
250,16:28:43.510506,16:28:43.832681,-45.0,245,0,pass,
